#Table1
u,g,r,i,z,class,redshift,plate,mjd,fiberid
18.18789,16.85018,16.35707,16.1054,16.03709,GALAXY,0.03189712,345,51690,433
17.66187,16.47628,16.05894,15.8965,15.86874,STAR,-0.0001817669,3290,54941,409
19.46908,17.76117,17.14516,16.93181,16.84913,STAR,-0.0001358718,1569,53168,536
19.48826,17.87487,17.22807,16.97149,16.84796,STAR,-0.0001569999,2182,53905,176
18.58708,17.41987,17.53126,17.65388,17.74253,STAR,0.0002328358,3298,54924,269
18.70234,17.74104,17.46967,17.23203,17.11209,GALAXY,0.06275139,1730,53498,569
18.87154,17.93191,17.60132,17.46103,17.41627,STAR,-0.0003408987,4183,55447,276
18.74914,17.83234,17.54243,17.43383,17.40595,STAR,-0.0007577659,4177,55688,790
19.5482,18.45031,18.03571,17.88115,17.81544,STAR,-0.0001166716,1823,53886,184
15.21676,14.61907,14.46817,14.65845,14.81363,STAR,-8.552735E-05,2180,54613,60
17.96983,16.91045,16.45165,16.18305,15.97665,GALAXY,0.03174024,2530,53881,437
16.97253,15.84024,15.26756,14.94477,14.73667,GALAXY,0.02879328,2208,53880,506
16.55472,15.02606,14.26585,13.87919,13.58745,GALAXY,0.03439995,1424,52912,2
17.31465,15.87309,15.26976,15.00574,14.87338,STAR,-0.000378141,2182,53905,294
18.85663,17.75663,17.32787,17.14845,17.07154,STAR,-0.0005055925,1424,52912,84
19.59221,19.01428,18.3161,17.85467,17.6452,QSO,0.2257944,1569,53168,563
18.63297,17.45973,16.96751,16.64562,16.47911,GALAXY,0.0592932,1570,53149,36
18.02321,17.84909,17.52994,17.46579,17.49992,QSO,1.301318,344,51693,27
17.65001,16.67555,16.33529,16.20122,16.14662,STAR,-0.0005472529,2182,53905,119
18.76329,17.12097,16.3526,15.95172,15.65031,GALAXY,0.05296576,2207,53558,424
19.52316,18.31856,17.78123,17.55579,17.44818,STAR,-0.000706626,1730,53498,511
19.08611,18.12016,17.75026,17.5541,17.45171,GALAXY,0.03179228,344,51693,28
19.3483,18.45031,18.16202,18.05445,17.99705,STAR,-0.000928322,2193,53888,194
19.45118,18.05723,17.51717,17.28224,17.22351,STAR,-2.739992E-05,2178,54629,466
19.17369,17.86902,17.22089,16.85733,16.62957,GALAXY,0.1033988,2208,53880,479
17.38501,16.06827,15.48839,15.25067,15.10747,STAR,-0.0006400784,2182,53905,266
18.91326,18.74218,18.84782,18.94677,18.9513,STAR,4.406898E-05,1823,53886,411
19.57417,18.08566,17.23269,16.83855,16.53931,GALAXY,0.1456045,2528,54571,137
17.95016,17.00033,16.67066,16.54179,16.5163,STAR,-5.463785E-05,2182,53905,516
18.71578,17.03456,16.46896,16.2957,16.23559,STAR,-0.0001737403,2182,53905,262
19.15417,17.63957,16.82689,16.41205,16.09449,GALAXY,0.1051871,1823,53886,243
17.38387,15.95344,15.44023,15.24721,15.17977,STAR,-0.0001711965,2182,53905,222
19.43802,18.30252,17.71556,17.46331,17.29335,STAR,0.0005510558,2186,54327,58
18.76018,16.97158,16.12672,15.77934,15.49664,GALAXY,0.1012516,2202,53566,232
17.67343,16.3882,15.88303,15.59412,15.35891,GALAXY,0.04790564,1693,53446,83
18.99057,17.79688,17.83827,17.90818,18.01494,STAR,-9.331216E-05,2193,53888,301
17.96835,16.56247,15.97744,15.66153,15.46833,GALAXY,0.03631951,2207,53558,379
16.07713,14.87442,14.37913,17.28333,14.11631,STAR,-0.0004707751,2180,54613,149
18.55037,17.26141,16.80327,16.63375,16.56226,STAR,-8.509022E-06,2189,54624,259
19.49593,17.82885,16.74441,16.22456,15.81097,GALAXY,0.1537324,1659,53224,45
19.54688,19.36642,19.20539,19.05359,19.159,QSO,1.479036,979,52427,162
19.34449,17.45448,16.65555,16.22769,15.92134,GALAXY,0.10077,2202,53566,396
18.05885,16.77445,16.21915,15.90368,15.67829,GALAXY,0.04726818,1424,52912,638
19.40915,18.09488,17.5378,17.3225,17.20436,STAR,0.0001046162,2180,54613,636
17.98525,16.20806,15.40409,15.00715,14.71678,GALAXY,0.02970653,2202,53566,229
19.52156,18.92259,18.83065,18.82087,18.65964,QSO,2.282899,4895,55708,330
19.18543,17.71234,16.98238,16.60357,16.30672,GALAXY,0.1166747,2202,53566,371
19.54708,18.25536,17.80189,17.62558,17.56146,STAR,-0.0006678567,1570,53149,600
18.4624,16.77441,15.96569,15.53534,15.21903,GALAXY,0.03098067,1693,53446,119
18.69715,17.43085,17.44118,17.50039,17.53954,STAR,7.550535E-05,1730,53498,218
17.82962,16.74467,16.14411,15.73268,15.47117,GALAXY,0.08979695,2208,53880,414
